Location,revised proposed cat,Revised Cap in cr
Bhubaneshwar,B,1
Ahmedabad,A+,no limit
Ahmednagar,C,0.75
Karim Nagar,B,1
Aligarh,C,0.75
Allahabad,C,0.75
Alwar,C,0.75
Mysore,B,1.5
Amravati,C,0.75
Anand,C,0.75
Jhansi,D,0.5
Nellore,B,1
Bangalore,A+,no limit
Guntur,B,1
Ratnagiri,D,0.5
Bhavnagar,D,0.5
Bhilai,C,0.75
Siliguri,D,0.5
Vijayawada,B,1
Ujjain,B,1.5
Bilaspur,C,0.75
Zirakpur,A,5
Chandigarh,A,5
Chennai,A+,no limit
Bhilwara,C,0.75
Coimbatore,A,3
Davanagere,D,0.5
Vishakhapatnam,B,1.5
Delhi NCR,A+,no limit
Dewas,C,0.75
Chhindwara,D,0.5
Eluru,D,0.5
Erode,C,0.75
Gandhinagar,A+,no limit
Ghaziabad,A+,no limit
Vellore,B,1
Hubli,C,0.75
Gwalior,C,0.75
Haridwar,C,0.75
Karnal,B,1.5
Indore,A,5
Itarsi,D,0.5
Jabalpur,C,0.75
Jaipur,A,5
Jalandhar,C,0.75
Jalgaon,D,0.5
Jamnagar,C,0.75
Palanpur,C,0.75
Puducherry,B,1
Jodhpur,B,1
Sikar,D,0.5
Kakinada,D,0.5
Kanpur Dehat,C,0.75
Ludhiana,B,1
Varanasi,B,1
Khandwa,C,0.75
Khargone,D,0.5
Kolhapur,D,0.5
Warangal,B,1
Ratlam,B,1
Lucknow,A,3
Tirupati,B,1.5
Aurangabad,B,1
Mahabub Nagar,C,0.75
Mangalore,C,0.75
Mathura,C,0.75
Meerut,B,1
Ajmer,B,1.5
Mumbai,A+,no limit
Agra,B,1
Salem,B,1
Madurai,B,1
Ankleshwar ,C,0.75
Neemuch,D,0.5
Nagpur,B,1.5
Ongole,C,0.75
Junagadh ,D,0.5
Pali,C,0.75
Panipat,C,0.75
Patiala,D,0.5
Surendranagar,D,0.5
Pune,A+,no limit
Raipur,C,0.75
Rajahmundry ,C,0.75
Rajkot,B,1
Ranchi,B,1
Nasik,B,2
Bhatinda,D,0.5
Roorkee,C,0.75
Sagar,C,0.75
Saharanpur,D,0.5
Vadodara,B,2
Satna,C,0.75
Secunderabad,A+,no limit
Shivpuri,C,0.75
Guwahati,D,0.5
Solapur,D,0.5
Sonipat,B,1.5
Surat,A,3
Jamshedpur,D,0.5
Ambala,B,1
Kolkata,B,1
Tiruppur,D,0.5
Tiruchirappalli,B,1
Bhopal,B,1
Udaipur,B,1.5
Valsad,B,1
Vapi,B,1
Navsari,D,0.5
Bareilly,B,1
Dehradun,B,1.5
Kota,C,0.75
Mehsana,B,1
Yamuna Nagar,D,0.5
