|Sr No|Zone|Region|Branch/Micro Market|Collateral Type|Sub Collateral Type|Categorisation (P/A/I)|Type 1/2/3/4|Documentation & other Approvals|
|--|--|--|--|--|--|--|--|--|
|1|Central|MP|MP|Bungalow Properties|Non TNCP And Non Sanction Plan In PC|I|Type III|1.Identifiable property 2.No main road properties 3.Architect plans for construction 4.Basic development colonies 5.Plinth stage for construction 6.G2 built-up limit 7.GP land diversion 8.No negative/unapproved area 9.Docs: ownership, floor map, estimate 10.Min 10ft road|
|2|Central|MP|Gwalior Region|Bungalow Properties|Non TNCP And Non Sanction Plan In PC|A|Type III|1.Govt residential diversion 2.Only residential 3.Nazul NOC/mutation 4.Builder layout with signatures 5.50% colony development 6.Infrastructure access 7.Active construction 8.Min 2-3 houses 9.LTV max 80% 10.Docs required 11.Min 10ft road|
|3|Central|MP|MP|Khasra Properties|Parent Ownership Through Khasra|I|Type IV|1. Form B1 And PII Should Be Available  2. Property Must Be Identifiable 3. Properties LOCated On Main Roads Will Not Be Considered Where Demolition Risk Is Higher. 4. Architect Floor Plans And Estimate Should Be Available In Construction Cases 5. Funding To Be Done In Colonies With Basic Development 6. Minimum Plinth Stage Required Before Disbursement For Construction Cases.  7. Maximum G2 Built Up Will Be Considered.  8. In Gram Panchayat Limits Land Should Be Diverted. 9. Rm To Be Done  10. DOCument Required- Ownership DOCument , NAzri NAksha For Identification.  11. Minimum 10 Ft Road Width In Front Of Property                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|4|Central|MP|MP|Bungalow Properties In Municipal Limits|Non TNCP And Sanction Plan Available|A|Type II|1. Diversion Order Must Be Available For Residential Usage In Newely Devloped Colonies.  2. Builder Layout Map With Plot Numbering Should Be Available Seal & Signed By Builder And Purchaser And To Be Part Of Sale Deed 3. In Old Developed Colony, Route Map Signed By Builder/ Seller And Purchaser To Be Part Of Sale Deed For Identification. 4. Colony Should Have Minimum Development Of 50% And Development Work Must Be Running. Proper Approach Road/ACCess Till Property Should Be Available. 5. Incomplete Developed Colonies From Long Time Where No Construction Activity Is Observed Would Not Be Considered. 6. Nearby Habitation Should Be More Than 50% Within 500 Mtr Radius.  7. Other Insitutions Funding Proofs Should Be Available.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|5|Central|MP|MP|Bungalow Properties In Gram Panchayat Limits|Non TNCP And Sanction Plan Available|I|Type II|1. Diversion Order Must Be Available For Residential Usage. 2. Builder Layout Map With Plot Numbering Should Be Available Seal & Signed By Builder And Purchaser And To Be Part Of Sale Deed 3. In Old Developed Colony, Route Map Signed By Builder/ Seller And Purchaser To Be Part Of Sale Deed For Identification. 4. Colony Should Have Minimum Development Of 50% And Development Work Must Be Running. Proper Approach Road/ACCess Till Property Should Be Available. 5. Incomplete Developed Colonies From Long Time Where No Construction Activity Is Observed Would Not Be Considered. 6. Nearby Habitation Should Be More Than 50% Within 500 Mtr Radius. 7. Other Insitutions Funding Proofs Should Be Available. We Will Not Be 1St Instituion To Fund In Such Colonies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|6|Central|MP|MP|Pent House Properties|Flats/Appartment Colllaterals|I|Type III|1. Tax Receipt And Mutation Of Property To Be Available 2. Property Have Minimum Age Of 5 Years 3. Building Must Have Lift Facility 4. In Prakosth Proposed Unit Must Be Mentioned.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|7|Central|MP|MP|Notary Ownership Properties|Self-Construction|I|Type IV|1. Registered Mortgage To Be Done If Only Notary Is Coming In Chain Documents.  2.Rm/ Em Can Be Done If Last Ownership Registered DOCument Is Available. 3. Colony Habitation Should Be More Than 60 % 4. Arch. Floor Plan And Estimate Should Be Available. 5. Positive Legal To Be Taken For Such Transactions And Should Be Vetted By Credit Team. 6. Property Should Not Be Near To NAla.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|8    |Central|MP            |MP                                                        |Notary Ownership Properties                                                                                                                                                        |Completed Properties                                                                                                                                    |I                     |Type IV           |1. Registered Mortgage To Be Done If Only Notary Is Coming In Chain Documents.  2.Rm/ Em Can Be Done If Last Ownership Registered DOCument Is Available. 3. Colony Habitation Should Be More Than 60 % 4. Minimum 3 Years Possession Proof In LAP And In HL Resale/Bt Cases. 5. Positive Legal To Be Taken For Such Transactions And Should Be Vetted By Credit Team.  6. Utility Bill And Tax Recipet Of Municipal Should Be Available Upfront In The NAme Of Customer In LAP /Bt Cases And In NAme Of Seller In Resale Cases.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|9    |Central|MP            |MP                                                        |Patta Ownership Properties                                                                                                                                                         |Self- Construction                                                                                                                                      |I                     |Type IV           |1. Registered Mortgage To Be Done  2. Colony Habitation Should Be More Than 60 % 3. Arch. Floor Plan And Estimate Should Be Available. 4. Positive Legal To Be Taken For Such Transactions And Should Be Vetted By Credit Team.  5. Property Should Not Be Near To NAla.  6. Only Transferrable Patta Properties Will Be Considered. Non Transferable Patta Not Eligible.  7. Rcu Verificaiton To Be Done For Patta And DOCuments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
