Sr No,Product Name,Customer Segment,Unique Features
1,Pragati Plus HL,Prime & Affordable,Home Loans up to Rs. 1.5 Cr Segment 1-SENP (assessed income) purchasing Prime property. Segment 2- salaried professionals purchasing property with minor deviations. 
2,Pragati HL,Affordable,Home Loan up to 1 Cr 240+ Affordable collaterals for Salaried & SENP (Documented and Assessed income) customers Easy documentation. 
3,Pragati Ashiyana,Informal,Home Loan up to 50 lakhs 100+ informal collaterals for salaried (Bank & Cash) customers & SENP (documented and assessed income) customers. No ITR required. 
4,Micro LAP,Affordable & Informal,Loan up to 75 lakhs to grow business against 240+ approved collaterals with easy documentation. No ITR requirement for SENP customers (documented & assessed income). 
5,Micro CF,Prime & Affordable,"Loan up to 5 Cr for developers with a completion history Up to 1.5 lakh sq.ft developing Non-RERA. Affordable projects (up to 500 sq.mtr/less than 8 units) with flexibility, eg-Floor-wise NOC provided on completion. Principal Moratorium option available for 1 year. "
6,General Purpose Loan,Prime,Additional 15% loan over & above existing HL No additional collateral requirement. Same tenure as HL & ROI better than PL to make your home your dream home. 
7,Priority BT,Prime & Affordable,Up to 30% top-up loan on clear repayment track record Get a hassle-free BT offer. No income assessment & no Legal verification for BT from chosen 13 Fl's. 
8,Express BT,Prime & Affordable,Up to 30% top-up loan on clear repayment track record Get a hassle-free BT offer. No income assessment & no Legal verification for BT from chosen 13 Fl's. 
9,Step up,Prime,Up to 30% higher loan amount aligned to their expected income growth Tailormade offering for young salaried professionals wanting to have their own home. 10% Lower EMI for the initial years. 
10,Step Down,Prime & Affordable,Up to 20% higher loan amount with Joint income Targeted towards Salaried customers with combined income (parents/spouses). Customers with Pension income with higher EMI in initial period & lower EMI as the tenure increases. 
11,Extended Tenure,Prime,Up to 40% higher loan amount HL offering becomes bigger & better for Senior corporate executives. Extended tenure up to 70 years. 
12,Prime HL & LAP,Prime,"HL & LAP offerings For Salaried, SEP & SENP customers with wide array of eligibility methods to offer best loan amount Tenure up to 30 years. "
13,GST Program,Prime & Affordable,"Loans up to 2 Crs, basis GST returns for growing businesses. FOIR up to 100% for HL & LAP. Minimal documentation exclusively for SENP customers. "
14,LRD,Prime,"LRD proposition covering a wide range of Lessees Higher tenure (up to 15 years), competitive ROI and HIGHER NPV's (up to 90%). Turnover based segmentation of Lessee for wider coverage - CAT A (500 Cr+) CAT B (250 Cr+) CAT C (100 Cr+) & CAT D (50 Cr+). "
15,ABB Program,Prime & Affordable,"Loan up to 5 Cr Leverage bank balance to fuel your HL/Business goals. EMI up to 60% of 12 Months avg daily balance and the obligations are deducted before FOIR calculation, resulting in higher loan eligibility. "
16,Low LTV,Prime,HL & LAP offering up to 23 Crs For SENP Customers purchasing property with high OCR. Loan up to 40% of property value for business expansion purposes. 
17,Semi Fixed ROI,Informal (Pragati Aashiyana & Micro LAP),Flexible Tenure options Avail fixed ROI in initial tenure of the loan ranging from 2 to 5 years to counter interest rate risk Option to increase the tenure of fixed ROI during the loan period
