
Home Loan :

| Sr No | Particular          | Tata HFC                                   | Bajaj HFC                                       | PNB Housing                                                       | ICICI HFC                                                            | Aadhar                                                                                              | Aavas                                                      |
| ----- | ------------------- | ------------------------------------------ | ----------------------------------------------- | ----------------------------------------------------------------- | -------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------- | ---------------------------------------------------------- |
| 1     | Maximum Loan Amount | 5 cr                                       | 5 cr                                            | 5 Cr                                                              | 5 Cr                                                                 | 1 cr                                                                                                | 1 Cr                                                       |
| 2     | Loan Tenure         | 30                                         | 32                                              | 30/20                                                             | 20                                                                   | 30                                                                                                  | 30                                                         |
| 3     | Customer Profile    | Salaried/Self Employed                     | Salaried/Self Employed                          | Salaried/Self Employed                                            | Salaried/Self Employed                                               | Salaried/Self Employed                                                                              | Salaried/Self Employed                                     |
| 4     | Starting ROI        | 8.75%                                      | 8.50%                                           | 8.50%                                                             | 8.75%                                                                | 11.75%                                                                                              | 8.50%                                                      |
| 5     | Processing Fees     | 0.10% of Loan Amount + GST                 | Up to 4% of the loan amount + GST as applicable | 1% of the loan applied for + GST                                  | 0.50%-3.00% plus applicable taxes and other statutory levies, if any | Home Loan/Top up - Up to Rs.5100 or 1.5% Plus applicable GST on Sanction Amount whichever is higher | Processing Charges Upto 1% + GST (on the sanctioned value) |
| 6     | No of Branches      | 125                                        | 216                                             | 303                                                               | 222                                                                  | 545                                                                                                 | 372                                                        |
| 7     | Website Link        | https://www.tatacapital.com/home-loan.html | https://www.bajajhousingfinance.in/housing-loan | https://www.pnbhousing.com/home-loan/eligibility-criteria#pnbTabs | [https://www.icicihfc.com/](https://www.icicihfc.com/)               | https://aadharhousing.com/loans/Home-Loan-For-Salaried-Employees                                    | https://www.aavas.in/                                      |

Loan Against Property

|   | Particular          | Tata HFC                                                                                                                                                                                                                | Bajaj HFC                                                | PNB Housing                                                       | ICICI HFC                                                                                                | Aadhar                                                                                                   | Aavas                                                      |
| - | ------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------- | ----------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------- |
| 1 | Maximum Loan Amount | 10 Cr                                                                                                                                                                                                                   | 5 Cr                                                     | 5 Cr                                                              | 10 Cr                                                                                                    | 1 cr                                                                                                     | 1 Cr                                                       |
| 2 | Loan Tenure         | 20                                                                                                                                                                                                                      | 17                                                       | 20                                                                | 20                                                                                                       | 15                                                                                                       | 15                                                         |
| 3 | Customer Profile    | Salaried/Self Employed                                                                                                                                                                                                  | Salaried/Self Employed                                   | Salaried/Self Employed                                            | Salaried/Self Employed                                                                                   | Salaried/Self Employed                                                                                   | Salaried/Self Employed                                     |
| 4 | Starting ROI        | 9%                                                                                                                                                                                                                      | 9.40%                                                    | 9.24%                                                             | 10.00%                                                                                                   | 15%                                                                                                      | 10.00%                                                     |
| 5 | Processing Fees     | Residential and Commercial properties (HE) - 1% to 3% of the finance amount + GST,<br>Rest all other properties – 1.25% to 3% of the finance amount + GST,<br>SaRaL/Mint Loan – 1.25% to 3% of the finance amount + GST | Up to 4% of the loan amount + GST as applicable          | 2% of the loan applied for + GST                                  | 1.00% or ₹ 11,000 (whichever is higher) or 1.50% (depending on property) of the loan amount + GST @18%\* |  LAP/NIP/Project Loan - Up to Rs.5100/- or 2% Plus applicable GST on Sanction Amount whichever is higher | Processing Charges Upto 1% + GST (on the sanctioned value) |
| 6 | No of Branches      | 125                                                                                                                                                                                                                     | 216                                                      | 303                                                               | 222                                                                                                      | 545                                                                                                      | 372                                                        |
| 7 | Website Link        | https://www.tatacapital.com/home-loan.html                                                                                                                                                                              | https://www.bajajhousingfinance.in/loan-against-property | https://www.pnbhousing.com/home-loan/eligibility-criteria#pnbTabs | [https://www.icicihfc.com/](https://www.icicihfc.com/)                                                   | https://aadharhousing.com/loans/Home-Loan-For-Salaried-Employees                                         | https://www.aavas.in/                                      |
