The following table contains data for products offered by Aditya Birla Housing Finance Limited, as described in the provided sources: 

| Product Name                       | Target Customer                                                                                                                                                                                                                                                                                | Loan Amount        | Loan Tenure                                                                   | Key Features                                                                                                                                                                                                                                                                                                                                            |
| :------------------------------------ | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | :------------------ | :---------------------------------------------------------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **ABHFL**                          | **Individuals and businesses seeking mortgage and loan products.**                                                                                                                                                                                                                         | **Varies by product** | **Varies by product**                                                          | **ABHFL offers a range of mortgage and loan products, each with specific eligibility criteria based on factors like income, credit score, and property type.**                                                                                                                                                                                       |
| **Home Loan (HL)**                | Individuals seeking financing for various home-related needs, including purchase, construction, extension, and improvement.                                                                                                                                                                                | Up to 15 CR | Up to 30 Years                                                         | Offers various sub-products and eligibility programs to accommodate different customer segments and financial profiles.                                                                                                                                                                                                                  |
| **Pragati Home Loan**             | Customers with formal or informal income and documentation seeking to purchase properties in micro-markets.                                                                                                                                                                                         | Up to 1 CR     | Up to 30 years for salaried, 20 years for self-employed                     | Offers relaxed eligibility norms and simplified documentation processes for affordable home ownership.                                                                                                                                                                                                                                     |
| **Pragati Plus**                   | Two segments: 1) Self-employed individuals with assessed income purchasing standard property. 2) Bank salaried customers purchasing Type II property.                                                                                                                                            | Up to 1.5 CR   | Minimum: 12 months, Maximum: 240 months for self-employed, 360 for salaried | Caters to cash-rich, self-employed customers and prime salaried customers seeking properties with minor deviations from standard eligibility criteria.                                                                                                                                                                                              |
| **Pragati Aashiyana**            | Salaried and self-employed customers with or without ITR, seeking home loans for informal property purchases.                                                                                                                                                                                        | Up to 50 Lakhs  | Up to 20 years                                                            | Targets customers in the unorganized sector purchasing residential properties (excluding Type I). Offers two segments with varying eligibility criteria based on income and business setup.                                                                                                                                           |
| **General Purpose Loan**          | Select customers (Salaried ABG/CAT A/B or SEP/SENP with 730+ CIBIL) seeking additional funds for home improvement or interiors, bundled with a home loan.                                                                                                                                      | Up to 50 Lakhs  | Up to 25 years                                                            | Provides up to 15% additional financing on top of the home loan amount, subject to LTV and eligibility criteria.                                                                                                                                                                                                                           |
| **Micro LAP**                      | Salaried, self-employed, or partnerships seeking business expansion funding.                                                                                                                                                                                                                        | Up to 75 Lakhs | Minimum: 12 months, Maximum: 180 months                                 | Caters to affordable and informal customers with relaxed eligibility criteria, accepting self-occupied residential and commercial properties as collateral.                                                                                                                                                                                     |
| **Micro CF**                       | Affordable housing developers and small-scale builders seeking construction financing for small-size projects.                                                                                                                                                                                      | Up to 5 CR     | a) 7 Years b) 5 Years (including 1-year principal moratorium)              | Supports the development of affordable housing projects in specific locations by providing loans to eligible developers meeting specific criteria, including experience, project size, and legal compliance.                                                                                                                       |
| **Lease Rental Discounting (LRD)** | Companies, partnerships, LLPs, and private firms (including Indian subsidiaries/franchisees of MNCs) seeking financing based on future rental income.                                                                                                                                    | Minimum 50 Lakhs (CAT A/B/C) | CAT A & B - Up to 15 years or unexpired lease/LOI. CAT C/D - Up to 10 years. | Provides financing based on the discounted value of future rental income from leased commercial, industrial, or warehouse properties. Eligibility and terms depend on factors like tenant profile, property location and type, and lease terms.                                                                                    |
| **Step-Up**                         | Young professional and salaried customers seeking higher loan eligibility based on projected income growth.                                                                                                                                                                                        | Up to 20% Higher Eligibility | Up to 25 years                                                            | Features a lower initial EMI that gradually increases over time, aligned with anticipated income growth. Designed to enhance affordability for early-career professionals. Requires a co-applicant and applies to new home loan transactions only.                                                                                          |
| **Step-Down**                       | Two variants: 1) Salaried customers with pension income. 2) Salaried customers with working co-applicants.                                                                                                                                                                                   | Up to 20% Higher Eligibility | Up to 25 years                                                            | Offers higher loan eligibility by factoring in joint income, with EMIs gradually decreasing over time. Suitable for borrowers with supplementary income sources or those expecting a decline in income (e.g., approaching retirement). Applicable to ready properties and balance transfer transactions.                             |
| **Extended Tenure**                | Senior-level salaried executives nearing retirement, seeking higher loan amounts and reduced EMI payments.                                                                                                                                                                                        | Up to 40% Higher Eligibility | Up to 25 years                                                            | Extends the loan tenure to allow for higher loan amounts with more manageable monthly payments, particularly beneficial for borrowers close to retirement. Requires a non-financial co-applicant and applies to under-construction, ready, and balance transfer home loan transactions.                                             |
| **Priority Balance Transfer**    | ABC employees and ABC salaried customers seeking balance transfer with an attractive interest rate.                                                                                                                                                                                               | Up to 3 CR     | Up to 30 years                                                            | Offers a streamlined balance transfer process with minimal documentation requirements, particularly for customers transferring from top-tier institutions. Offers top-up loans based on the borrower's vintage with the bank.                                                                                                        |
| **Express Balance Transfer**       | Salaried and self-employed customers seeking a faster balance transfer process and the option to avail of a top-up loan.                                                                                                                                                                           | Up to 3 CR     | Up to 25 years                                                            | Enables quick balance transfers and provides top-up loan options. The eligibility for top-up loans is determined by the borrower's repayment history.                                                                                                                                                                                |


Here is the information provided in a tabular format:

| **Product Name**                 | **Applicability**                                                                                                                                                  | **Loan Amount**                       | **Eligibility**                                                                                                                                                                              | **LTV**                                             | **Tenure**            | **Additional Considerations**                                                                                                                                                                   |
|----------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------|-----------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| **Home Loan (HL)**               | Purchase, construct, or renovate a residential property.                                                                                                          | Up to INR 15 Crores                   | Salaried: Salary slips, bonuses, rental income. <br> Self-Employed: Financial statements, gross turnover, EBITDA.                                                                              | Up to 90% (for loans ≤ INR 30 Lakhs)                | Up to 30 years         | Property must be for self-occupation.                                                                                                                                                           |
| **Loan Against Property (LAP)**  | Personal/business needs secured against residential/commercial property.                                                                                         | Up to INR 15 Crores                   | Income from business activities, rental income, property’s market value.                                                                                                                      | Up to 75% (residential), 60% (commercial)           | Up to 15 years         | Income routed through a bank account; property in applicant's name.                                                                                                                            |
| **Lease Rental Discounting (LRD)**| Property owners leasing commercial/industrial properties.                                                                                                         | Up to INR 10 Crores                   | 90% of net rent (CAT A/B); 80% (CAT C/D).                                                                                                                                                     | Up to 70% (commercial), 65% (warehouse), 55% (industrial) | Up to 15 years or lease period, whichever is earlier | Rental income must be consistent and supported by valid lease agreements.                                                                                                                      |
| **Plot Purchase Loan**           | Purchasing residential plots.                                                                                                                                     | Up to INR 15 Crores                   | Similar to home loans; salary or business income.                                                                                                                                             | Up to 75% of the plot’s value                       | Up to 15 years         | Plot should be approved for residential development.                                                                                                                                           |
| **Home Construction Loan (HCL)** | Constructing a home on a purchased plot.                                                                                                                          | Up to INR 15 Crores                   | Based on estimated construction costs and income.                                                                                                                                             | Up to 75% of construction cost                      | Up to 20 years         | Construction should begin within a specified period after loan disbursement.                                                                                                                   |
| **Home Extension Loan (HEL)**    | Extending or expanding an existing residential property.                                                                                                          | Up to INR 15 Crores                   | Existing property value and applicant’s income.                                                                                                                                               | Up to 90% (for small loans)                         | Up to 20 years         | Extension should conform to local building regulations.                                                                                                                                        |
| **Home Improvement Loan (HIL)**  | Renovating or repairing an existing home.                                                                                                                         | Up to INR 15 Crores                   | Similar to other home loans; income and property value.                                                                                                                                       | Up to 90% (for small amounts)                       | Up to 15 years         | Repairs should enhance the property’s value or condition.                                                                                                                                      |
| **Pragati Home Loan**            | Affordable home loans for lower-income groups.                                                                                                                    | Up to INR 1 Crore                     | Salaried: INR 7,000/month income. <br> Self-Employed: INR 1 Lakh/year income.                                                                                                                 | Up to 90% of property value                         | Up to 30 years         | Simplified documentation and eligibility norms.                                                                                                                                                |
| **Pragati Plus Home Loan**       | For self-employed and salaried customers with minor deviations.                                                                                                   | Up to INR 1.5 Crores                  | Self-Employed: Income from business activities. <br> Salaried: Formal income and purchase of Type II properties.                                                                              | Up to 80% of property value                         | Up to 20 years (SENP), up to 30 years (salaried) | For standard properties in prime locations.                                                                                                                                                   |
| **Pragati Aashiyana**            | Informal property purchases by salaried/self-employed customers without ITR.                                                                                      | Up to INR 50 Lakhs                    | Salary income, cash profit, or credit manager assessed income.                                                                                                                                | Up to 80% (permanent structures), 65% (temporary)   | Up to 20 years         | For customers in unorganized sectors like small shops or food stalls.                                                                                                                          |
| **HL Booster (General Purpose Loan)**| Additional funding up to 15% of the home loan amount for home improvement or interiors.                                                                            | Up to INR 50 Lakhs                    | Existing home loan customers with a CIBIL score of 730+.                                                                                                                                      | Total LTV (home loan + GPL) should not exceed 90%.  | Up to 25 years         | Only for self-occupation; not for investment properties.                                                                                                                                       |
| **Micro LAP**                    | Affordable/informal customers looking for LAP against self-occupied properties.                                                                                   | INR 5 Lakhs to INR 75 Lakhs           | SENP/SEP with formal or assessed income.                                                                                                                                                      | Up to 60% (residential), 55% (commercial)           | Up to 10 years         | Higher interest rates (14% - 18%).                                                                                                                                                             |
| **Micro CF (Construction Finance)**| Affordable developers looking to finance small-sized projects.                                                                                                     | Up to INR 5 Crores                    | Developers with a proven track record and legal/technical clearances.                                                                                                                         | 50% on plot value or 70% on construction cost       | Up to 10 years         | Limited to small projects with a maximum of 10 units.                                                                                                                                          |
| **AdvantEdge (Step Up)**         | Young salaried professionals with higher loan eligibility and balanced repayment structure.                                                                       | 20% higher eligibility against current income | Salaried professionals with a minimum net monthly income of INR 40,000.                                                                                                                        | N/A                                                 | Up to 25 years         | No prepayments allowed during the primary tenure.                                                                                                                                              |
| **AdaptPlus (Step Down)**        | Working professionals seeking joint home loans with lower EMI options.                                                                                            | 20% higher eligibility based on joint income | Salaried customers with pension income or a working co-applicant.                                                                                                                             | N/A                                                 | Up to 25 years         | Applicable for ready residential properties.                                                                                                                                                   |
| **ExtendEase (Extended Tenure)** | Senior professionals nearing retirement seeking higher loan amounts and reduced EMIs.                                                                             | Up to INR 1 Crore                     | Senior-level salaried executives with a CIBIL score of 730+.                                                                                                                                  | N/A                                                 | Up to 25 years         | Applicable for under-construction, ready, and balance transfer transactions.                                                                                                                   |
| **Green Channel BT Program**     | ABC employees/salaried customers seeking balance transfer options with attractive interest rates.                                                                 | Up to INR 3 Crores                    | No income documents required; only sanction letter, SOA, and LOD from the BT bank.                                                                                                            | As per NHB norms                                   | Up to 30 years         | Minimum vintage required for balance transfer and top-up loans.                                                                                                                                |
